unicode,codepoint,latex,compose,description
𝕛,U1D55B,\mathbb{j},<Multi_key> <b> <j>,mathematical bold small j
𝕜,U1D55C,\mathbb{k},<Multi_key> <b> <k>,mathematical bold small k
𝕝,U1D55D,\mathbb{l},<Multi_key> <b> <l>,mathematical bold small l
𝕞,U1D55E,\mathbb{m},<Multi_key> <b> <m>,mathematical bold small m
𝕟,U1D55F,\mathbb{n},<Multi_key> <b> <n>,mathematical bold small n
𝕠,U1D560,\mathbb{o},<Multi_key> <b> <o>,mathematical bold small o
𝕡,U1D561,\mathbb{p},<Multi_key> <b> <p>,mathematical bold small p
𝕢,U1D562,\mathbb{q},<Multi_key> <b> <q>,mathematical bold small q
𝕣,U1D563,\mathbb{r},<Multi_key> <b> <r>,mathematical bold small r
𝕤,U1D564,\mathbb{s},<Multi_key> <b> <s>,mathematical bold small s
𝕥,U1D565,\mathbb{t},<Multi_key> <b> <t>,mathematical bold small t
𝕦,U1D566,\mathbb{u},<Multi_key> <b> <u>,mathematical bold small u
𝕧,U1D567,\mathbb{v},<Multi_key> <b> <v>,mathematical bold small v
𝕨,U1D568,\mathbb{w},<Multi_key> <b> <w>,mathematical bold small w
𝕩,U1D569,\mathbb{x},<Multi_key> <b> <x>,mathematical bold small x
𝕪,U1D56A,\mathbb{y},<Multi_key> <b> <y>,mathematical bold small y
𝕫,U1D56B,\mathbb{z},<Multi_key> <b> <z>,mathematical bold small z
𝟘,U1D7D8,\mathbb{0},<Multi_key> <b> <0>,mathematical double-struck digit zero
𝟙,U1D7D9,\mathbbm{1},<Multi_key> <b> <1>,mathematical double-struck digit one
𝟚,U1D7DA,\mathbb{2},<Multi_key> <b> <2>,mathematical double-struck digit two
𝟛,U1D7DB,\mathbb{3},<Multi_key> <b> <3>,mathematical double-struck digit three
𝟜,U1D7DC,\mathbb{4},<Multi_key> <b> <4>,mathematical double-struck digit four
𝟝,U1D7DD,\mathbb{5},<Multi_key> <b> <5>,mathematical double-struck digit five
𝟞,U1D7DE,\mathbb{6},<Multi_key> <b> <6>,mathematical double-struck digit six
𝟟,U1D7DF,\mathbb{7},<Multi_key> <b> <7>,mathematical double-struck digit seven
𝟠,U1D7E0,\mathbb{8},<Multi_key> <b> <8>,mathematical double-struck digit eight
𝟡,U1D7E1,\mathbb{9},<Multi_key> <b> <9>,mathematical double-struck digit nine
Α,U0391,\Alpha,<Multi_key> <asterisk> <A>,greek capital letter alpha
Β,U0392,\Beta,<Multi_key> <asterisk> <B>,greek capital letter beta
Ψ,U03A8,\Psi,<Multi_key> <asterisk> <C>,greek capital letter psi
Δ,U0394,\Delta,<Multi_key> <asterisk> <D>,greek capital letter delta
Ε,U0395,\varepsilon,<Multi_key> <asterisk> <E>,greek capital letter epsilon
Φ,U03A6,\varphi,<Multi_key> <asterisk> <F>,greek capital letter phi
Γ,U0393,\Gamma,<Multi_key> <asterisk> <G>,greek capital letter gamma
Η,U0397,\Eta,<Multi_key> <asterisk> <H>,greek capital letter eta
Ι,U0399,\Iota,<Multi_key> <asterisk> <I>,greek capital letter iota
Ξ,U039E,\Xi,<Multi_key> <asterisk> <J>,greek capital letter xi
